Ma_TSN,Ten_TSN,type,Ma_toa_cha,Ten_toa_cha,Ma_SSN,Ten_SSN,Tinh
D01.33.06,"Tòa án nhân dân huyện Bắc Tân Uyên, tỉnh Bình Dương",OLD,D01.33,"Tòa án nhân dân tỉnh Bình Dương",D01.134.17,"Tòa án nhân dân khu vực 17 - Hồ Chí Minh","Tỉnh Bình Dương"
D01.33.07,"Tòa án nhân dân huyện Bàu Bàng, tỉnh Bình Dương",OLD,D01.33,"Tòa án nhân dân tỉnh Bình Dương",D01.134.19,"Tòa án nhân dân khu vực 19 - Hồ Chí Minh","Tỉnh Bình Dương"
D01.33.08,"Tòa án nhân dân huyện Dầu Tiếng, tỉnh Bình Dương",OLD,D01.33,"Tòa án nhân dân tỉnh Bình Dương",D01.134.18,"Tòa án nhân dân khu vực 18 - Hồ Chí Minh","Tỉnh Bình Dương"
D01.33.09,"Tòa án nhân dân huyện Phú Giáo, tỉnh Bình Dương",OLD,D01.33,"Tòa án nhân dân tỉnh Bình Dương",D01.134.19,"Tòa án nhân dân khu vực 19 - Hồ Chí Minh","Tỉnh Bình Dương"
D01.34.01,"Tòa án nhân dân thành phố Qui nhơn, tỉnh Bình Định",OLD,D01.34,"Tòa án nhân dân tỉnh Bình Định",D01.130.01,"Tòa án nhân dân khu vực 1 - Gia Lai","Tỉnh Bình Định"
D01.34.02,"Tòa án nhân dân huyện An Nhơn, tỉnh Bình Định",OLD,D01.34,"Tòa án nhân dân tỉnh Bình Định",D01.130.02,"Tòa án nhân dân khu vực 2 - Gia Lai","Tỉnh Bình Định"
D01.34.03,"Tòa án nhân dân huyện An Lão, tỉnh Bình Định",OLD,D01.34,"Tòa án nhân dân tỉnh Bình Định",D01.130.05,"Tòa án nhân dân khu vực 5 - Gia Lai","Tỉnh Bình Định"
D01.34.04,"Tòa án nhân dân huyện Hoài Ân, tỉnh Bình Định",OLD,D01.34,"Tòa án nhân dân tỉnh Bình Định",D01.130.05,"Tòa án nhân dân khu vực 5 - Gia Lai","Tỉnh Bình Định"
D01.34.05,"Tòa án nhân dân huyện Hoài Nhơn, tỉnh Bình Định",OLD,D01.34,"Tòa án nhân dân tỉnh Bình Định",D01.130.06,"Tòa án nhân dân khu vực 6 - Gia Lai","Tỉnh Bình Định"
D01.34.06,"Tòa án nhân dân huyện Phù Cát, tỉnh Bình Định",OLD,D01.34,"Tòa án nhân dân tỉnh Bình Định",D01.130.03,"Tòa án nhân dân khu vực 3 - Gia Lai","Tỉnh Bình Định"
D01.34.07,"Tòa án nhân dân huyện Phù Mỹ, tỉnh Bình Định",OLD,D01.34,"Tòa án nhân dân tỉnh Bình Định",D01.130.03,"Tòa án nhân dân khu vực 3 - Gia Lai","Tỉnh Bình Định"
D01.34.08,"Tòa án nhân dân huyện Tây Sơn, tỉnh Bình Định",OLD,D01.34,"Tòa án nhân dân tỉnh Bình Định",D01.130.04,"Tòa án nhân dân khu vực 4 - Gia Lai","Tỉnh Bình Định"
D01.34.09,"Tòa án nhân dân huyện Tuy Phước, tỉnh Bình Định",OLD,D01.34,"Tòa án nhân dân tỉnh Bình Định",D01.130.02,"Tòa án nhân dân khu vực 2 - Gia Lai","Tỉnh Bình Định"
D01.34.10,"Tòa án nhân dân huyện Vân Canh, tỉnh Bình Định",OLD,D01.34,"Tòa án nhân dân tỉnh Bình Định",D01.130.02,"Tòa án nhân dân khu vực 2 - Gia Lai","Tỉnh Bình Định"
D01.34.11,"Tòa án nhân dân huyện Vĩnh Thạch, tỉnh Bình Định",OLD,D01.34,"Tòa án nhân dân tỉnh Bình Định",D01.130.04,"Tòa án nhân dân khu vực 4 - Gia Lai","Tỉnh Bình Định"
D01.35.01,"Tòa án nhân dân thị xã Bình Long, tỉnh Bình Phước",OLD,D01.35,"Tòa án nhân dân tỉnh Bình Phước",D01.128.10,"Tòa án nhân dân khu vực 10 - Đồng Nai","Tỉnh Bình Phước"
D01.35.02,"Tòa án nhân dân thị xã Đồng Xoài, tỉnh Bình Phước",OLD,D01.35,"Tòa án nhân dân tỉnh Bình Phước",D01.128.09,"Tòa án nhân dân khu vực 9 - Đồng Nai","Tỉnh Bình Phước"
D01.35.03,"Tòa án nhân dân thị xã Phước Long, tỉnh Bình Phước",OLD,D01.35,"Tòa án nhân dân tỉnh Bình Phước",D01.128.11,"Tòa án nhân dân khu vực 11 - Đồng Nai","Tỉnh Bình Phước"
D01.35.04,"Tòa án nhân dân huyện Bù Đăng, tỉnh Bình Phước",OLD,D01.35,"Tòa án nhân dân tỉnh Bình Phước",D01.128.12,"Tòa án nhân dân khu vực 12 - Đồng Nai","Tỉnh Bình Phước"
D01.35.05,"Tòa án nhân dân huyện Bù Đốp, tỉnh Bình Phước",OLD,D01.35,"Tòa án nhân dân tỉnh Bình Phước",D01.128.13,"Tòa án nhân dân khu vực 13 - Đồng Nai","Tỉnh Bình Phước"
D01.35.06,"Tòa án nhân dân huyện Bù Gia Mập, tỉnh Bình Phước",OLD,D01.35,"Tòa án nhân dân tỉnh Bình Phước",D01.128.13,"Tòa án nhân dân khu vực 13 - Đồng Nai","Tỉnh Bình Phước"
D01.35.07,"Tòa án nhân dân huyện Chơn Thành, tỉnh Bình Phước",OLD,D01.35,"Tòa án nhân dân tỉnh Bình Phước",D01.128.10,"Tòa án nhân dân khu vực 10 - Đồng Nai","Tỉnh Bình Phước"
D01.35.08,"Tòa án nhân dân huyện Đồng Phú, tỉnh Bình Phước",OLD,D01.35,"Tòa án nhân dân tỉnh Bình Phước",D01.128.09,"Tòa án nhân dân khu vực 9 - Đồng Nai","Tỉnh Bình Phước"
D01.35.09,"Tòa án nhân dân huyện Hớn Quản, tỉnh Bình Phước",OLD,D01.35,"Tòa án nhân dân tỉnh Bình Phước",D01.128.10,"Tòa án nhân dân khu vực 10 - Đồng Nai","Tỉnh Bình Phước"
D01.35.10,"Tòa án nhân dân huyện Lộc Ninh, tỉnh Bình Phước",OLD,D01.35,"Tòa án nhân dân tỉnh Bình Phước",D01.128.14,"Tòa án nhân dân khu vực 14 - Đồng Nai","Tỉnh Bình Phước"
D01.35.11,"Tòa án nhân dân huyện Phú Riềng, tỉnh Bình Phước",OLD,D01.35,"Tòa án nhân dân tỉnh Bình Phước",D01.128.11,"Tòa án nhân dân khu vực 11 - Đồng Nai","Tỉnh Bình Phước"
D01.36.01,"Tòa án nhân dân thành phố Phan Thiết, tỉnh Bình Thuận",OLD,D01.36,"Tòa án nhân dân tỉnh Bình Thuận",D01.141.10,"Tòa án nhân dân khu vực 10 - Lâm Đồng","Tỉnh Bình Thuận"
D01.36.02,"Tòa án nhân dân thị xã La Gi, tỉnh Bình Thuận",OLD,D01.36,"Tòa án nhân dân tỉnh Bình Thuận",D01.141.15,"Tòa án nhân dân khu vực 15 - Lâm Đồng","Tỉnh Bình Thuận"
D01.36.03,"Tòa án nhân dân huyện Bắc Bình, tỉnh Bình Thuận",OLD,D01.36,"Tòa án nhân dân tỉnh Bình Thuận",D01.141.13,"Tòa án nhân dân khu vực 13 - Lâm Đồng","Tỉnh Bình Thuận"
D01.36.04,"Tòa án nhân dân huyện Đức Linh, tỉnh Bình Thuận",OLD,D01.36,"Tòa án nhân dân tỉnh Bình Thuận",D01.141.17,"Tòa án nhân dân khu vực 17 - Lâm Đồng","Tỉnh Bình Thuận"
D01.36.05,"Tòa án nhân dân huyện Hàm Tân, tỉnh Bình Thuận",OLD,D01.36,"Tòa án nhân dân tỉnh Bình Thuận",D01.141.15,"Tòa án nhân dân khu vực 15 - Lâm Đồng","Tỉnh Bình Thuận"
D01.36.06,"Tòa án nhân dân huyện Hàm Thuận Bắc, tỉnh Bình Thuận",OLD,D01.36,"Tòa án nhân dân tỉnh Bình Thuận",D01.141.12,"Tòa án nhân dân khu vực 12 - Lâm Đồng","Tỉnh Bình Thuận"
D01.36.07,"Tòa án nhân dân huyện Hàm Thuận Nam, tỉnh Bình Thuận",OLD,D01.36,"Tòa án nhân dân tỉnh Bình Thuận",D01.141.11,"Tòa án nhân dân khu vực 11 - Lâm Đồng","Tỉnh Bình Thuận"
D01.36.08,"Tòa án nhân dân huyện Phú Quý, tỉnh Bình Thuận",OLD,D01.36,"Tòa án nhân dân tỉnh Bình Thuận",D01.141.10,"Tòa án nhân dân khu vực 10 - Lâm Đồng","Tỉnh Bình Thuận"
D01.36.09,"Tòa án nhân dân huyện Tánh Linh, tỉnh Bình Thuận",OLD,D01.36,"Tòa án nhân dân tỉnh Bình Thuận",D01.141.16,"Tòa án nhân dân khu vực 16 - Lâm Đồng","Tỉnh Bình Thuận"
D01.36.10,"Tòa án nhân dân huyện Tuy Phong, tỉnh Bình Thuận",OLD,D01.36,"Tòa án nhân dân tỉnh Bình Thuận",D01.141.14,"Tòa án nhân dân khu vực 14 - Lâm Đồng","Tỉnh Bình Thuận"
D01.37.01,"Tòa án nhân dân thành phố Cà Mau, tỉnh Cà Mau",OLD,D01.37,"Tòa án nhân dân Thành phố Cần Thơ",D01.122.01,"Tòa án nhân dân khu vực 1 - Cà Mau","Tỉnh Cà Mau"
D01.37.02,"Tòa án nhân dân huyện Cái Nước, tỉnh Cà Mau",OLD,D01.37,"Tòa án nhân dân Thành phố Cần Thơ",D01.122.04,"Tòa án nhân dân khu vực 4 - Cà Mau","Tỉnh Cà Mau"
D01.37.03,"Tòa án nhân dân huyện Đầm Dơi, tỉnh Cà Mau",OLD,D01.37,"Tòa án nhân dân Thành phố Cần Thơ",D01.122.04,"Tòa án nhân dân khu vực 4 - Cà Mau","Tỉnh Cà Mau"
D01.37.04,"Tòa án nhân dân huyện Năm Căn, tỉnh Cà Mau",OLD,D01.37,"Tòa án nhân dân Thành phố Cần Thơ",D01.122.05,"Tòa án nhân dân khu vực 5 - Cà Mau","Tỉnh Cà Mau"
D01.37.05,"Tòa án nhân dân huyện Ngọc Hiển, tỉnh Cà Mau",OLD,D01.37,"Tòa án nhân dân Thành phố Cần Thơ",D01.122.05,"Tòa án nhân dân khu vực 5 - Cà Mau","Tỉnh Cà Mau"
D01.37.06,"Tòa án nhân dân huyện Phú Tân, tỉnh Cà Mau",OLD,D01.37,"Tòa án nhân dân Thành phố Cần Thơ",D01.122.03,"Tòa án nhân dân khu vực 3 - Cà Mau","Tỉnh Cà Mau"
D01.37.07,"Tòa án nhân dân huyện Thới Bình, tỉnh Cà Mau",OLD,D01.37,"Tòa án nhân dân Thành phố Cần Thơ",D01.122.02,"Tòa án nhân dân khu vực 2 - Cà Mau","Tỉnh Cà Mau"
D01.37.08,"Tòa án nhân dân huyện Trần Văn Thời, tỉnh Cà Mau",OLD,D01.37,"Tòa án nhân dân Thành phố Cần Thơ",D01.122.03,"Tòa án nhân dân khu vực 3 - Cà Mau","Tỉnh Cà Mau"
D01.37.09,"Tòa án nhân dân huyện U Minh, tỉnh Cà Mau",OLD,D01.37,"Tòa án nhân dân Thành phố Cần Thơ",D01.122.02,"Tòa án nhân dân khu vực 2 - Cà Mau","Tỉnh Cà Mau"
D01.38.01,"Tòa án nhân dân quận Bình Thuỷ, thành phố Cần Thơ",OLD,D01.38,"Tòa án nhân dân Thành phố Cần Thơ",D01.124.02,"Tòa án nhân dân khu vực 2 - Cần Thơ","Thành phố Cần Thơ"
D01.38.02,"Tòa án nhân dân quận Cái Răng, thành phố Cần Thơ",OLD,D01.38,"Tòa án nhân dân Thành phố Cần Thơ",D01.124.03,"Tòa án nhân dân khu vực 3 - Cần Thơ","Thành phố Cần Thơ"
D01.38.03,"Tòa án nhân dân quận Ninh Kiều, thành phố Cần Thơ",OLD,D01.38,"Tòa án nhân dân Thành phố Cần Thơ",D01.124.01,"Tòa án nhân dân khu vực 1 - Cần Thơ","Thành phố Cần Thơ"
D01.38.04,"Tòa án nhân dân quận Ô Môn, thành phố Cần Thơ",OLD,D01.38,"Tòa án nhân dân Thành phố Cần Thơ",D01.124.02,"Tòa án nhân dân khu vực 2 - Cần Thơ","Thành phố Cần Thơ"
D01.38.05,"Tòa án nhân dân quận Thốt Nốt, thành phố Cần Thơ",OLD,D01.38,"Tòa án nhân dân Thành phố Cần Thơ",D01.124.04,"Tòa án nhân dân khu vực 4 - Cần Thơ","Thành phố Cần Thơ"
D01.38.06,"Tòa án nhân dân huyện Cờ Đỏ, thành phố Cần Thơ",OLD,D01.38,"Tòa án nhân dân Thành phố Cần Thơ",D01.124.04,"Tòa án nhân dân khu vực 4 - Cần Thơ","Thành phố Cần Thơ"
D01.38.07,"Tòa án nhân dân huyện Phong Điền, thành phố Cần Thơ",OLD,D01.38,"Tòa án nhân dân Thành phố Cần Thơ",D01.124.03,"Tòa án nhân dân khu vực 3 - Cần Thơ","Thành phố Cần Thơ"
D01.38.08,"Tòa án nhân dân huyện Thới Lai, thành phố Cần Thơ",OLD,D01.38,"Tòa án nhân dân Thành phố Cần Thơ",D01.124.03,"Tòa án nhân dân khu vực 3 - Cần Thơ","Thành phố Cần Thơ"
D01.38.09,"Tòa án nhân dân huyện Vĩnh Thạnh, thành phố Cần Thơ",OLD,D01.38,"Tòa án nhân dân Thành phố Cần Thơ",D01.124.04,"Tòa án nhân dân khu vực 4 - Cần Thơ","Thành phố Cần Thơ"
D01.39.01,"Tòa án nhân dân thành phố Cao Bằng, tỉnh Cao Bằng",OLD,D01.39,"Tòa án nhân dân tỉnh Cao Bằng",D01.123.01,"Tòa án nhân dân khu vực 1 - Cao Bằng","Tỉnh Cao Bằng"
D01.39.02,"Tòa án nhân dân huyện Bảo Lạc, tỉnh Cao Bằng",OLD,D01.39,"Tòa án nhân dân tỉnh Cao Bằng",D01.123.05,"Tòa án nhân dân khu vực 5 - Cao Bằng","Tỉnh Cao Bằng"
D01.39.03,"Tòa án nhân dân huyện Bảo Lâm, tỉnh Cao Bằng",OLD,D01.39,"Tòa án nhân dân tỉnh Cao Bằng",D01.123.05,"Tòa án nhân dân khu vực 5 - Cao Bằng","Tỉnh Cao Bằng"
D01.39.04,"Tòa án nhân dân huyện Hạ Lang, tỉnh Cao Bằng",OLD,D01.39,"Tòa án nhân dân tỉnh Cao Bằng",D01.123.03,"Tòa án nhân dân khu vực 3 - Cao Bằng","Tỉnh Cao Bằng"
D01.39.05,"Tòa án nhân dân huyện Hà Quảng, tỉnh Cao Bằng",OLD,D01.39,"Tòa án nhân dân tỉnh Cao Bằng",D01.123.04,"Tòa án nhân dân khu vực 4 - Cao Bằng","Tỉnh Cao Bằng"
D01.39.06,"Tòa án nhân dân huyện Hòa An, tỉnh Cao Bằng",OLD,D01.39,"Tòa án nhân dân tỉnh Cao Bằng",D01.123.01,"Tòa án nhân dân khu vực 1 - Cao Bằng","Tỉnh Cao Bằng"
D01.39.07,"Tòa án nhân dân huyện Nguyên Bình, tỉnh Cao Bằng",OLD,D01.39,"Tòa án nhân dân tỉnh Cao Bằng",D01.123.04,"Tòa án nhân dân khu vực 4 - Cao Bằng","Tỉnh Cao Bằng"
D01.39.08,"Tòa án nhân dân huyện Quảng Hòa, tỉnh Cao Bằng",OLD,D01.39,"Tòa án nhân dân tỉnh Cao Bằng",D01.123.02,"Tòa án nhân dân khu vực 2 - Cao Bằng","Tỉnh Cao Bằng"
D01.39.09,"Tòa án nhân dân huyện Thạch An, tỉnh Cao Bằng",OLD,D01.39,"Tòa án nhân dân tỉnh Cao Bằng",D01.123.02,"Tòa án nhân dân khu vực 2 - Cao Bằng","Tỉnh Cao Bằng"
D01.39.10,"Tòa án nhân dân huyện Trùng Khánh, tỉnh Cao Bằng",OLD,D01.39,"Tòa án nhân dân tỉnh Cao Bằng",D01.123.03,"Tòa án nhân dân khu vực 3 - Cao Bằng","Tỉnh Cao Bằng"
D01.40.01,"Tòa án nhân dân quận Cẩm Lệ, thành phố Đà Nẵng",OLD,D01.40,"Tòa án nhân dân Thành phố Đà Nẵng",D01.125.03,"Tòa án nhân dân khu vực 3 - Đà Nẵng","Thành phố Đà Nẵng"
D01.40.02,"Tòa án nhân dân quận Hải Châu, thành phố Đà Nẵng",OLD,D01.40,"Tòa án nhân dân Thành phố Đà Nẵng",D01.125.01,"Tòa án nhân dân khu vực 1 - Đà Nẵng ","Thành phố Đà Nẵng"
D01.40.03,"Tòa án nhân dân quận Liên Chiểu, thành phố Đà Nẵng",OLD,D01.40,"Tòa án nhân dân Thành phố Đà Nẵng",D01.125.04,"Tòa án nhân dân khu vực 4 - Đà Nẵng","Thành phố Đà Nẵng"
D01.40.04,"Tòa án nhân dân quận Ngũ Hành Sơn, thành phố Đà Nẵng",OLD,D01.40,"Tòa án nhân dân Thành phố Đà Nẵng",D01.125.02,"Tòa án nhân dân khu vực 2 - Đà Nẵng","Thành phố Đà Nẵng"
D01.40.05,"Tòa án nhân dân quận Sơn Trà, thành phố Đà Nẵng",OLD,D01.40,"Tòa án nhân dân Thành phố Đà Nẵng",D01.125.02,"Tòa án nhân dân khu vực 2 - Đà Nẵng","Thành phố Đà Nẵng"
D01.40.06,"Tòa án nhân dân quận Thanh Khê, thành phố Đà Nẵng",OLD,D01.40,"Tòa án nhân dân Thành phố Đà Nẵng",D01.125.03,"Tòa án nhân dân khu vực 3 - Đà Nẵng","Thành phố Đà Nẵng"
D01.41.01,"Tòa án nhân dân thành phố Buôn Ma Thuột, tỉnh Đắk Lắk",OLD,D01.41,"Tòa án nhân dân tỉnh Đắk Lắk",D01.126.01,"Tòa án nhân dân khu vực 1 - Đắk Lắk","Tỉnh Đắk Lắk"
D01.41.02,"Tòa án nhân dân thị xã Buôn Hồ, tỉnh Đắk Lắk",OLD,D01.41,"Tòa án nhân dân tỉnh Đắk Lắk",D01.126.08,"Tòa án nhân dân khu vực 8 - Đắk Lắk","Tỉnh Đắk Lắk"
D01.41.03,"Tòa án nhân dân huyện Buôn Đôn, tỉnh Đắk Lắk",OLD,D01.41,"Tòa án nhân dân tỉnh Đắk Lắk",D01.126.02,"Tòa án nhân dân khu vực 2 - Đắk Lắk","Tỉnh Đắk Lắk"
D01.41.04,"Tòa án nhân dân huyện Cư Kuin, tỉnh Đắk Lắk",OLD,D01.41,"Tòa án nhân dân tỉnh Đắk Lắk",D01.126.05,"Tòa án nhân dân khu vực 5 - Đắk Lắk ","Tỉnh Đắk Lắk"
D01.41.05,"Tòa án nhân dân huyện Cư M'gar, tỉnh Đắk Lắk",OLD,D01.41,"Tòa án nhân dân tỉnh Đắk Lắk",D01.126.03,"Tòa án nhân dân khu vực 3 - Đắk Lắk","Tỉnh Đắk Lắk"
D01.41.06,"Tòa án nhân dân huyện Ea H'leo, tỉnh Đắk Lắk",OLD,D01.41,"Tòa án nhân dân tỉnh Đắk Lắk",D01.126.09,"Tòa án nhân dân khu vực 9 - Đắk Lắk","Tỉnh Đắk Lắk"
D01.41.07,"Tòa án nhân dân huyện Ea Kar, tỉnh Đắk Lắk",OLD,D01.41,"Tòa án nhân dân tỉnh Đắk Lắk",D01.126.07,"Tòa án nhân dân khu vực 7 - Đắk Lắk","Tỉnh Đắk Lắk"
D01.41.08,"Tòa án nhân dân huyện Ea Súp, tỉnh Đắk Lắk",OLD,D01.41,"Tòa án nhân dân tỉnh Đắk Lắk",D01.126.02,"Tòa án nhân dân khu vực 2 - Đắk Lắk","Tỉnh Đắk Lắk"
D01.41.09,"Tòa án nhân dân huyện Krông A Na, tỉnh Đắk Lắk",OLD,D01.41,"Tòa án nhân dân tỉnh Đắk Lắk",D01.126.05,"Tòa án nhân dân khu vực 5 - Đắk Lắk ","Tỉnh Đắk Lắk"
D01.41.10,"Tòa án nhân dân huyện Krông Bông, tỉnh Đắk Lắk",OLD,D01.41,"Tòa án nhân dân tỉnh Đắk Lắk",D01.126.06,"Tòa án nhân dân khu vực 6 - Đắk Lắk","Tỉnh Đắk Lắk"
D01.41.11,"Tòa án nhân dân huyện Krông Búk, tỉnh Đắk Lắk",OLD,D01.41,"Tòa án nhân dân tỉnh Đắk Lắk",D01.126.08,"Tòa án nhân dân khu vực 8 - Đắk Lắk","Tỉnh Đắk Lắk"
D01.41.12,"Tòa án nhân dân huyện Krông Năng, tỉnh Đắk Lắk",OLD,D01.41,"Tòa án nhân dân tỉnh Đắk Lắk",D01.126.10,"Tòa án nhân dân khu vực 10 - Đắk Lắk","Tỉnh Đắk Lắk"
D01.41.13,"Tòa án nhân dân huyện Krông Pắc, tỉnh Đắk Lắk",OLD,D01.41,"Tòa án nhân dân tỉnh Đắk Lắk",D01.126.04,"Tòa án nhân dân khu vực 4 - Đắk Lắk","Tỉnh Đắk Lắk"
D01.41.14,"Tòa án nhân dân huyện Lăk, tỉnh Đắk Lắk",OLD,D01.41,"Tòa án nhân dân tỉnh Đắk Lắk",D01.126.06,"Tòa án nhân dân khu vực 6 - Đắk Lắk","Tỉnh Đắk Lắk"
D01.41.15,"Tòa án nhân dân huyện M'Đrăk, tỉnh Đắk Lắk",OLD,D01.41,"Tòa án nhân dân tỉnh Đắk Lắk",D01.126.07,"Tòa án nhân dân khu vực 7 - Đắk Lắk","Tỉnh Đắk Lắk"
D01.42.01,"Tòa án nhân dân thị xã Gia Nghĩa, tỉnh Đắk Nông",OLD,D01.42,"Tòa án nhân dân tỉnh Đắk Nông",D01.141.06,"Tòa án nhân dân khu vực 6 - Lâm Đồng","Tỉnh Đắk Nông"
D01.42.02,"Tòa án nhân dân huyện Cư Jút, tỉnh Đắk Nông",OLD,D01.42,"Tòa án nhân dân tỉnh Đắk Nông",D01.141.09,"Tòa án nhân dân khu vực 9 - Lâm Đồng","Tỉnh Đắk Nông"
D01.42.03,"Tòa án nhân dân huyện Dak G'Long, tỉnh Đắk Nông",OLD,D01.42,"Tòa án nhân dân tỉnh Đắk Nông",D01.141.06,"Tòa án nhân dân khu vực 6 - Lâm Đồng","Tỉnh Đắk Nông"
D01.42.04,"Tòa án nhân dân huyện Dak Mil, tỉnh Đắk Nông",OLD,D01.42,"Tòa án nhân dân tỉnh Đắk Nông",D01.141.08,"Tòa án nhân dân khu vực 8 - Lâm Đồng","Tỉnh Đắk Nông"
D01.42.05,"Tòa án nhân dân huyện Dak R'Lấp, tỉnh Đắk Nông",OLD,D01.42,"Tòa án nhân dân tỉnh Đắk Nông",D01.141.07,"Tòa án nhân dân khu vực 7 - Lâm Đồng","Tỉnh Đắk Nông"
D01.42.06,"Tòa án nhân dân huyện Dak Song, tỉnh Đắk Nông",OLD,D01.42,"Tòa án nhân dân tỉnh Đắk Nông",D01.141.08,"Tòa án nhân dân khu vực 8 - Lâm Đồng","Tỉnh Đắk Nông"
D01.42.07,"Tòa án nhân dân huyện Krông Nô, tỉnh Đắk Nông",OLD,D01.42,"Tòa án nhân dân tỉnh Đắk Nông",D01.141.09,"Tòa án nhân dân khu vực 9 - Lâm Đồng","Tỉnh Đắk Nông"
D01.42.08,"Tòa án nhân dân huyện Tuy Đức, tỉnh Đắk Nông",OLD,D01.42,"Tòa án nhân dân tỉnh Đắk Nông",D01.141.07,"Tòa án nhân dân khu vực 7 - Lâm Đồng","Tỉnh Đắk Nông"
D01.43.01,"Tòa án nhân dân thành phố Điện Biên Phủ, tỉnh Điện Biên",OLD,D01.43,"Tòa án nhân dân tỉnh Điện Biên",D01.127.01,"Tòa án nhân dân khu vực 1 - Điện Biên","Tỉnh Điện Biên"
D01.43.02,"Tòa án nhân dân thị xã Mường Lay, tỉnh Điện Biên",OLD,D01.43,"Tòa án nhân dân tỉnh Điện Biên",D01.127.04,"Tòa án nhân dân khu vực 4 - Điện Biên","Tỉnh Điện Biên"
D01.43.03,"Tòa án nhân dân huyện Điện Biên, tỉnh Điện Biên",OLD,D01.43,"Tòa án nhân dân tỉnh Điện Biên",D01.127.02,"Tòa án nhân dân khu vực 2 - Điện Biên","Tỉnh Điện Biên"
D01.43.04,"Tòa án nhân dân huyện Điện Biên Đông, tỉnh Điện Biên",OLD,D01.43,"Tòa án nhân dân tỉnh Điện Biên",D01.127.02,"Tòa án nhân dân khu vực 2 - Điện Biên","Tỉnh Điện Biên"
D01.43.05,"Tòa án nhân dân huyện Mường Ảng, tỉnh Điện Biên",OLD,D01.43,"Tòa án nhân dân tỉnh Điện Biên",D01.127.01,"Tòa án nhân dân khu vực 1 - Điện Biên","Tỉnh Điện Biên"
D01.43.06,"Tòa án nhân dân huyện Mường Chà, tỉnh Điện Biên",OLD,D01.43,"Tòa án nhân dân tỉnh Điện Biên",D01.127.04,"Tòa án nhân dân khu vực 4 - Điện Biên","Tỉnh Điện Biên"
D01.43.07,"Tòa án nhân dân huyện Mường Nhé, tỉnh Điện Biên",OLD,D01.43,"Tòa án nhân dân tỉnh Điện Biên",D01.127.05,"Tòa án nhân dân khu vực 5 - Điện Biên","Tỉnh Điện Biên"
D01.43.08,"Tòa án nhân dân huyện Nậm Pồ, tỉnh Điện Biên",OLD,D01.43,"Tòa án nhân dân tỉnh Điện Biên",D01.127.05,"Tòa án nhân dân khu vực 5 - Điện Biên","Tỉnh Điện Biên"
D01.43.09,"Tòa án nhân dân huyện Tủa Chùa, tỉnh Điện Biên",OLD,D01.43,"Tòa án nhân dân tỉnh Điện Biên",D01.127.03,"Tòa án nhân dân khu vực 3 - Điện Biên","Tỉnh Điện Biên"
D01.43.10,"Tòa án nhân dân huyện Tuần Giáo, tỉnh Điện Biên",OLD,D01.43,"Tòa án nhân dân tỉnh Điện Biên",D01.127.03,"Tòa án nhân dân khu vực 3 - Điện Biên","Tỉnh Điện Biên"
D01.44.01,"Tòa án nhân dân thành phố Biên Hòa, tỉnh Đồng Nai",OLD,D01.44,"Tòa án nhân dân tỉnh Đồng Nai",D01.128.01,"Tòa án nhân dân khu vực 1 - Đồng Nai","Tỉnh Đồng Nai"
D01.44.02,"Tòa án nhân dân thành phố Long Khánh, tỉnh Đồng Nai",OLD,D01.44,"Tòa án nhân dân tỉnh Đồng Nai",D01.128.04,"Tòa án nhân dân khu vực 4 - Đồng Nai","Tỉnh Đồng Nai"
D01.44.03,"Tòa án nhân dân huyện Cẩm Mỹ, tỉnh Đồng Nai",OLD,D01.44,"Tòa án nhân dân tỉnh Đồng Nai",D01.128.05,"Tòa án nhân dân khu vực 5 - Đồng Nai","Tỉnh Đồng Nai"
D01.44.04,"Tòa án nhân dân huyện Định Quán, tỉnh Đồng Nai",OLD,D01.44,"Tòa án nhân dân tỉnh Đồng Nai",D01.128.07,"Tòa án nhân dân khu vực 7 - Đồng Nai","Tỉnh Đồng Nai"
D01.44.05,"Tòa án nhân dân huyện Long Thành, tỉnh Đồng Nai",OLD,D01.44,"Tòa án nhân dân tỉnh Đồng Nai",D01.128.02,"Tòa án nhân dân khu vực 2 - Đồng Nai","Tỉnh Đồng Nai"
D01.44.06,"Tòa án nhân dân huyện Nhơn Trạch, tỉnh Đồng Nai",OLD,D01.44,"Tòa án nhân dân tỉnh Đồng Nai",D01.128.02,"Tòa án nhân dân khu vực 2 - Đồng Nai","Tỉnh Đồng Nai"
